# Passe C109 - lot 7 (raspberry-pi/ + xiao/), seance du 30/08.
# 41 ancres pour 44 occurrences traitees : trois lignes portent deux editions
# chacune (gpio L17, projet L23, projet L66). 30 candidats exemptes, hors table.
# chemin<TAB>ancre exacte<TAB>remplacement
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	programme — en Python le plus souvent — alors qu'un	programme, en Python le plus souvent, alors qu'un
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	coupé du système mecatronique ; avec, il	coupé du système mécatronique. Avec, il
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	Python coexistent ; on n'en utilise	Python coexistent. On n'en utilise
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	précis l'exige — exactement la logique	précis l'exige. C'est exactement la logique
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	limite le courant ; le niveau de sortie	limite le courant. Le niveau de sortie
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	dans les clous ; au-delà, on passe	dans les clous. Au-delà, on passe
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	sur microcontrôleur — en plus concis, parce que l'anti-rebond	sur microcontrôleur, en plus concis : l'anti-rebond
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	au millième près — elle peut s'allonger	au millième près : elle peut s'allonger
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	travailler ensemble — voir [[raspberry-pi-projet|le SBC dans un projet]].	travailler ensemble (voir [[raspberry-pi-projet|le SBC dans un projet]]).
embarque/mcu/raspberry-pi/raspberry-pi-gpio.md	tolérant 5 V ; un signal 5 V passe	tolérant 5 V. Un signal 5 V passe
embarque/mcu/raspberry-pi/raspberry-pi-prise-en-main.md	vérifie la carte — quelques minutes.	vérifie la carte (quelques minutes).
embarque/mcu/raspberry-pi/raspberry-pi-prise-en-main.md	locale (mDNS) ; si elle échoue	locale (mDNS). Si elle échoue
embarque/mcu/raspberry-pi/raspberry-pi-prise-en-main.md	l'accès est validé — la prise en main est faite.	l'accès est validé : la prise en main est faite.
