# PASSE C109 - LOT 9 (conduite/proj, palier Analyse fonctionnelle :
# mecatronique, mind-map, bete-a-cornes, pieuvre, fonction,
# caracteriser-une-exigence). Table JETABLE (C114), datee, non reutilisable.
# 80 signalements juges, 21 gardes, 59 traites, 56 ancres.
# Jugement publie un par un dans tools/predictions-260830.md avant cette table.
# chemin<TAB>ancre exacte<TAB>remplacement

# --- mecatronique : 5 ancres ---
conduite/proj/mecatronique.md	par des actionneurs — la boucle	par des actionneurs : la boucle
conduite/proj/mecatronique.md	le choix des actionneurs ; les actionneurs	le choix des actionneurs. Les actionneurs
conduite/proj/mecatronique.md	une électronique de puissance ; l'électronique	une électronique de puissance. L'électronique
conduite/proj/mecatronique.md	du [[firmware]] ; et le comportement logiciel doit	du [[firmware]]. Enfin, le comportement logiciel doit
conduite/proj/mecatronique.md	(informatique embarquée) — un système minimal	(informatique embarquée) : un système minimal

# --- mind-map : 11 ancres ---
conduite/proj/mind-map.md	**brainstorming structuré** — son usage	**brainstorming structuré**, son usage
conduite/proj/mind-map.md	outil de premier jet — on capture large	outil de premier jet : on capture large
conduite/proj/mind-map.md	un livrable formel — c'est l'**échafaudage**	un livrable formel : c'est l'**échafaudage**
conduite/proj/mind-map.md	[[pieuvre|pieuvre]] ; le brainstorm de solutions	[[pieuvre|pieuvre]]. Le brainstorm de solutions
conduite/proj/mind-map.md	(pas de phrases — la concision force la clarté)	(pas de phrases : la concision force la clarté)
conduite/proj/mind-map.md	pour un premier jet ; pour partager	pour un premier jet. Pour partager
conduite/proj/mind-map.md	ces trois contraintes — des candidats discrets	ces trois contraintes, des candidats discrets
conduite/proj/mind-map.md	puis se numérote ; la **sécurité opérateur**	puis se numérote. La **sécurité opérateur**
conduite/proj/mind-map.md	sur le milieu opérateur ; l'**écoconception**	sur le milieu opérateur. L'**écoconception**
conduite/proj/mind-map.md	des FC ; la **conformité CE** — notée, tracée — est consciemment écartée	des FC. La **conformité CE** (notée, tracée) est consciemment écartée
conduite/proj/mind-map.md	casse la divergence — et c'est souvent	casse la divergence, et c'est souvent

# --- bete-a-cornes : 7 ancres ---
conduite/proj/bete-a-cornes.md	gagne son utilité — un désaccord	gagne son utilité : un désaccord
conduite/proj/bete-a-cornes.md	des choix de solution — la bête à cornes	des choix de solution : la bête à cornes
conduite/proj/bete-a-cornes.md	de code à refaire — erreur qui aurait été évitée	de code à refaire, erreur qui aurait été évitée
conduite/proj/bete-a-cornes.md	pour être évaluable — comprendre quoi exactement	pour être évaluable : comprendre quoi exactement
